user_id,session,article_id,clicked_or_not,time_spent,rating_article
1,1,462,0,0,0
1,1,2833,0,0,0
1,1,1488,1,68.38369514,2
1,1,461,0,0,0
1,1,752,0,0,0
1,1,1412,1,86.86850338,3
1,1,2692,1,77.1341494,1
1,1,2709,1,97.7459202,5
1,1,2259,1,113.0373775,1
1,1,311,1,92.59338078,5
1,2,633,0,0,0
1,2,426,1,36.5120331,1
1,2,2601,0,0,0
1,2,907,1,80.60867506,4
1,2,1078,1,69.12476838,1
1,2,2351,1,36.00209284,2
1,2,1669,1,40.39191433,2
1,2,2585,0,0,0
1,2,1676,0,0,0
1,2,40,1,83.66290821,5
1,3,904,1,64.35335881,5
1,3,2373,1,92.36871488,5
1,3,190,0,0,0
1,3,95,0,0,0
1,3,1237,1,46.20814324,4
1,3,2,1,58.73291035,4
1,3,1295,0,0,0
1,3,1734,1,72.59280881,2
1,3,2276,1,55.45655383,1
1,3,2057,0,0,0
1,4,581,0,0,0
1,4,170,1,67.86016915,2
1,4,2188,0,0,0
1,4,348,0,0,0
1,4,2298,1,89.42181821,2
1,4,386,1,34.13331187,3
1,4,1267,0,0,0
1,4,2293,1,77.97346774,3
1,4,1956,0,0,0
1,4,210,0,0,0
1,5,1036,0,0,0
1,5,836,1,64.85861057,5
1,5,1935,1,107.1018252,2
1,5,1622,0,0,0
1,5,710,1,137.4977302,5
1,5,628,0,0,0
1,5,2403,1,48.36323981,5
1,5,488,1,105.4391318,3
1,5,2446,0,0,0
1,5,2175,0,0,0
1,6,2904,1,57.98286112,4
1,6,2458,0,0,0
1,6,406,1,67.0161658,3
1,6,858,0,0,0
1,6,594,0,0,0
1,6,1808,1,119.9224387,3
1,6,1367,0,0,0
1,6,2013,0,0,0
1,6,105,0,0,0
1,6,2029,1,36.03154469,2
2,1,1249,0,0,0
2,1,1924,0,0,0
2,1,797,0,0,0
2,1,1606,1,41.93338231,3
2,1,1703,1,80.28211256,2
2,1,23,1,82.64364233,3
2,1,1040,0,0,0
2,1,1510,0,0,0
2,1,2369,0,0,0
2,1,486,1,86.07156614,1
2,2,1877,0,0,0
2,2,2883,1,117.6071117,3
2,2,1572,1,82.81610249,4
2,2,470,1,34.66540418,1
2,2,1660,1,117.7591024,4
2,2,2770,1,74.87856793,1
2,2,1604,1,123.623939,2
2,2,365,0,0,0
2,2,662,1,66.17005715,4
2,2,1504,0,0,0
2,3,2603,1,131.8388368,1
2,3,1140,0,0,0
2,3,2523,1,74.12822972,1
2,3,2780,0,0,0
2,3,1482,1,79.14915239,2
2,3,160,1,86.76787119,1
2,3,1595,1,77.55117949,4
2,3,2874,0,0,0
2,3,2461,0,0,0
2,3,1164,1,124.9023928,5
3,1,358,0,0,0
3,1,1128,0,0,0
3,1,430,1,42.03711336,5
3,1,1881,0,0,0
3,1,2553,0,0,0
3,1,541,0,0,0
3,1,210,0,0,0
3,1,1072,0,0,0
3,1,25,0,0,0
3,1,1439,0,0,0
3,2,2714,1,85.21343392,5
3,2,381,1,134.8823003,2
3,2,2561,1,81.22000823,5
3,2,2258,1,70.84390551,2
3,2,369,1,112.5367268,4
3,2,218,1,48.94608945,3
3,2,909,1,97.59992777,3
3,2,92,1,79.02673635,5
3,2,1616,0,0,0
3,2,591,1,117.662578,5
3,3,1348,0,0,0
3,3,2449,0,0,0
3,3,838,1,31.52186855,5
3,3,1403,1,69.06253049,5
3,3,1203,1,112.7522996,1
3,3,2715,1,34.46815651,1
3,3,2632,0,0,0
3,3,2897,1,31.58916896,2
3,3,1559,0,0,0
3,3,229,0,0,0
4,1,2891,0,0,0
4,1,1135,1,38.20329416,3
4,1,1748,0,0,0
4,1,335,0,0,0
4,1,352,1,42.87427171,4
4,1,1651,0,0,0
4,1,2670,0,0,0
4,1,1451,0,0,0
4,1,2823,1,104.9947338,3
4,1,2322,0,0,0
4,2,2526,1,82.97927158,2
4,2,2576,0,0,0
4,2,388,0,0,0
4,2,1029,1,69.2081521,3
4,2,1837,0,0,0
4,2,858,0,0,0
4,2,2763,0,0,0
4,2,300,1,69.26217233,1
4,2,143,1,67.37400304,1
4,2,1206,0,0,0
5,1,1721,0,0,0
5,1,2093,0,0,0
